,decile,variable,value,year
0,1.0,Food,0.45545630236583473,90
1,2.0,Food,0.40893205618172684,90
2,3.0,Food,0.3769210647107849,90
3,4.0,Food,0.3460324415778081,90
4,5.0,Food,0.32562214986508004,90
5,6.0,Food,0.30049395499009457,90
6,7.0,Food,0.2772083886950588,90
7,8.0,Food,0.2525727108681515,90
8,9.0,Food,0.226452637152467,90
9,10.0,Food,0.1641696353782017,90
10,1.0,Drink,0.010191650518547625,90
11,2.0,Drink,0.009331008827534445,90
12,3.0,Drink,0.008167834470171945,90
13,4.0,Drink,0.00718570466377626,90
14,5.0,Drink,0.006722223867899541,90
15,6.0,Drink,0.006227707237559186,90
16,7.0,Drink,0.005154357434757616,90
17,8.0,Drink,0.0036515606619801624,90
18,9.0,Drink,0.0034866134591164774,90
19,10.0,Drink,0.002125508182572754,90
20,1.0,Cloth,0.027337652992128515,90
21,2.0,Cloth,0.03737583349027687,90
22,3.0,Cloth,0.04134352297712622,90
23,4.0,Cloth,0.04590108949938575,90
24,5.0,Cloth,0.046025101622372735,90
25,6.0,Cloth,0.04844895994447515,90
26,7.0,Cloth,0.050272088605762884,90
27,8.0,Cloth,0.0511225337503359,90
28,9.0,Cloth,0.052740546691498635,90
29,10.0,Cloth,0.04662861492355067,90
30,1.0,Housing,0.28401847669791735,90
31,2.0,Housing,0.26642282020118535,90
32,3.0,Housing,0.2581063514812851,90
33,4.0,Housing,0.252273960851174,90
34,5.0,Housing,0.2423410740333796,90
35,6.0,Housing,0.23687153647916648,90
36,7.0,Housing,0.22489637369515383,90
37,8.0,Housing,0.2139678892553737,90
38,9.0,Housing,0.20149063952576363,90
39,10.0,Housing,0.17152383472937213,90
40,1.0,Furniture,0.024658191503993204,90
41,2.0,Furniture,0.023835414253852688,90
42,3.0,Furniture,0.023519780025239953,90
43,4.0,Furniture,0.02360517151087443,90
44,5.0,Furniture,0.022484709715526855,90
45,6.0,Furniture,0.021475351316972573,90
46,7.0,Furniture,0.02139217911993981,90
47,8.0,Furniture,0.01995470071856423,90
48,9.0,Furniture,0.02121645424723173,90
49,10.0,Furniture,0.022076436017585306,90
50,1.0,Health,0.03296130169863686,90
51,2.0,Health,0.036000690181238984,90
52,3.0,Health,0.03849255048581516,90
53,4.0,Health,0.038210762389011325,90
54,5.0,Health,0.04293309260961617,90
55,6.0,Health,0.04651768439743418,90
56,7.0,Health,0.045475836319792046,90
57,8.0,Health,0.05016350079703742,90
58,9.0,Health,0.054083812409666754,90
59,10.0,Health,0.05324805421573931,90
60,1.0,Transportation,0.045869566840639045,90
61,2.0,Transportation,0.048404835220328214,90
62,3.0,Transportation,0.04887236005830939,90
63,4.0,Transportation,0.04741155875565526,90
64,5.0,Transportation,0.047284034215463254,90
65,6.0,Transportation,0.04657509821457357,90
66,7.0,Transportation,0.046891682172008974,90
67,8.0,Transportation,0.046122307802841433,90
68,9.0,Transportation,0.04523240584141135,90
69,10.0,Transportation,0.03476973870913255,90
70,1.0,ICT,0.02731298718051499,90
71,2.0,ICT,0.031635069048372176,90
72,3.0,ICT,0.03240364254506035,90
73,4.0,ICT,0.031722216620819345,90
74,5.0,ICT,0.03209827980317239,90
75,6.0,ICT,0.03063299759516836,90
76,7.0,ICT,0.030720869866088678,90
77,8.0,ICT,0.02895895987885921,90
78,9.0,ICT,0.02622953563068907,90
79,10.0,ICT,0.019947670802959696,90
80,1.0,Entertainment,0.0025760174044522502,90
81,2.0,Entertainment,0.0034980066038323857,90
82,3.0,Entertainment,0.004206199434915144,90
83,4.0,Entertainment,0.004177863237439289,90
84,5.0,Entertainment,0.004641670057624142,90
85,6.0,Entertainment,0.004724214906181531,90
86,7.0,Entertainment,0.004790127329225244,90
87,8.0,Entertainment,0.0052094956750315296,90
88,9.0,Entertainment,0.005325700744501153,90
89,10.0,Entertainment,0.005274817537768173,90
90,1.0,Restaurant,0.003998313787439412,90
91,2.0,Restaurant,0.004869174642732484,90
92,3.0,Restaurant,0.005378029004638102,90
93,4.0,Restaurant,0.006036769595734515,90
94,5.0,Restaurant,0.006904030633506855,90
95,6.0,Restaurant,0.007253660679781129,90
96,7.0,Restaurant,0.007700671261154679,90
97,8.0,Restaurant,0.009134355000091203,90
98,9.0,Restaurant,0.008928737363950542,90
99,10.0,Restaurant,0.014069832431034072,90
100,1.0,Others,0.018154665094864957,90
101,2.0,Others,0.01942476241583567,90
102,3.0,Others,0.018957759489567873,90
103,4.0,Others,0.018484903128579235,90
104,5.0,Others,0.01739446286228128,90
105,6.0,Others,0.01734041948861242,90
106,7.0,Others,0.01626916093866146,90
107,8.0,Others,0.015382628778223908,90
108,9.0,Others,0.014137622730132202,90
109,10.0,Others,0.01314158809895058,90
110,1.0,Durables,0.06172612906431863,90
111,2.0,Durables,0.09633401395594533,90
112,3.0,Durables,0.12008707360332731,90
113,4.0,Durables,0.14097385869193882,90
114,5.0,Durables,0.15792930148335624,90
115,6.0,Durables,0.18090005993721267,90
116,7.0,Durables,0.20989947335875592,90
117,8.0,Durables,0.23473399742373663,90
118,9.0,Durables,0.2585584251329171,90
119,10.0,Durables,0.2700753696864,90
120,1.0,Investments,0.005738744850712076,90
121,2.0,Investments,0.013936314977138233,90
122,3.0,Investments,0.0235438317137582,90
123,4.0,Investments,0.03798369947780327,90
124,5.0,Investments,0.04761986923072047,90
125,6.0,Investments,0.052538354812767786,90
126,7.0,Investments,0.05932879120363964,90
127,8.0,Investments,0.06902535938977286,90
128,9.0,Investments,0.08211686907065394,90
129,10.0,Investments,0.1829488992867326,90
0,1.0,Food,0.4660957946797732,91
1,2.0,Food,0.4323643007641392,91
2,3.0,Food,0.39810711619117983,91
3,4.0,Food,0.37372773272127674,91
4,5.0,Food,0.349460629425497,91
5,6.0,Food,0.33344330029078534,91
6,7.0,Food,0.3130900997858646,91
7,8.0,Food,0.2916171545416116,91
8,9.0,Food,0.2630669328426865,91
9,10.0,Food,0.1894003423554932,91
10,1.0,Drink,0.012294685034602877,91
11,2.0,Drink,0.01104301496663719,91
12,3.0,Drink,0.009938297022527383,91
13,4.0,Drink,0.009601952244548656,91
14,5.0,Drink,0.008525798264578,91
15,6.0,Drink,0.0074998047427867484,91
16,7.0,Drink,0.007216929193646492,91
17,8.0,Drink,0.005453490459612407,91
18,9.0,Drink,0.004799412991336054,91
19,10.0,Drink,0.0028014340756792344,91
20,1.0,Cloth,0.02675446627738417,91
21,2.0,Cloth,0.03918838369224037,91
22,3.0,Cloth,0.041802572616937914,91
23,4.0,Cloth,0.046699013655142174,91
24,5.0,Cloth,0.04729741031927772,91
25,6.0,Cloth,0.05019153960335484,91
26,7.0,Cloth,0.052948827939115824,91
27,8.0,Cloth,0.053573421260708756,91
28,9.0,Cloth,0.05702462411491034,91
29,10.0,Cloth,0.047674127197264986,91
30,1.0,Housing,0.2688338132290187,91
31,2.0,Housing,0.24684236663419443,91
32,3.0,Housing,0.24168025022767436,91
33,4.0,Housing,0.23502022061964184,91
34,5.0,Housing,0.2279615723074231,91
35,6.0,Housing,0.22123211700594878,91
36,7.0,Housing,0.21315988433603714,91
37,8.0,Housing,0.2008686028908556,91
38,9.0,Housing,0.18418353296639783,91
39,10.0,Housing,0.17336105835595364,91
40,1.0,Furniture,0.02536334908917245,91
41,2.0,Furniture,0.026090649089551242,91
42,3.0,Furniture,0.024599172517607678,91
43,4.0,Furniture,0.025625051123185128,91
44,5.0,Furniture,0.023170663429635176,91
45,6.0,Furniture,0.02381170607913268,91
46,7.0,Furniture,0.022898886945829325,91
47,8.0,Furniture,0.023256104794322663,91
48,9.0,Furniture,0.02392209337894988,91
49,10.0,Furniture,0.023192395700454477,91
50,1.0,Health,0.03352497024913063,91
51,2.0,Health,0.03396753317209248,91
52,3.0,Health,0.03716507902252906,91
53,4.0,Health,0.03851944361827739,91
54,5.0,Health,0.04109566725087425,91
55,6.0,Health,0.042782330007369765,91
56,7.0,Health,0.043466878293790825,91
57,8.0,Health,0.047665542210648344,91
58,9.0,Health,0.0544942226089946,91
59,10.0,Health,0.05307932829332514,91
60,1.0,Transportation,0.04244978653771401,91
61,2.0,Transportation,0.045189602278116116,91
62,3.0,Transportation,0.04694147409168689,91
63,4.0,Transportation,0.04690217784227741,91
64,5.0,Transportation,0.04697177915510399,91
65,6.0,Transportation,0.04549960217991249,91
66,7.0,Transportation,0.046817239375302785,91
67,8.0,Transportation,0.04286945874558107,91
68,9.0,Transportation,0.04205497015853888,91
69,10.0,Transportation,0.030151104089938294,91
70,1.0,ICT,0.027021963156904426,91
71,2.0,ICT,0.03081440153776915,91
72,3.0,ICT,0.030433768398763338,91
73,4.0,ICT,0.03058378784727201,91
74,5.0,ICT,0.029449647056160655,91
75,6.0,ICT,0.028451937469011365,91
76,7.0,ICT,0.027738808754934053,91
77,8.0,ICT,0.025086772560613237,91
78,9.0,ICT,0.023568380531578222,91
79,10.0,ICT,0.016404662367120442,91
80,1.0,Entertainment,0.003240299277552159,91
81,2.0,Entertainment,0.0041324290458376765,91
82,3.0,Entertainment,0.004244890510845194,91
83,4.0,Entertainment,0.004488749749477477,91
84,5.0,Entertainment,0.0047894148438818104,91
85,6.0,Entertainment,0.00460221538315865,91
86,7.0,Entertainment,0.004934544786688875,91
87,8.0,Entertainment,0.005137032480614056,91
88,9.0,Entertainment,0.005213839492721971,91
89,10.0,Entertainment,0.006666164001081808,91
90,1.0,Restaurant,0.00427302110038614,91
91,2.0,Restaurant,0.005298677622933853,91
92,3.0,Restaurant,0.006303786107007293,91
93,4.0,Restaurant,0.0060780643270506585,91
94,5.0,Restaurant,0.007376832626977011,91
95,6.0,Restaurant,0.008501128425691054,91
96,7.0,Restaurant,0.00880311637306904,91
97,8.0,Restaurant,0.008887174526954408,91
98,9.0,Restaurant,0.010808337313367479,91
99,10.0,Restaurant,0.015344906632217636,91
100,1.0,Others,0.019447457226423645,91
101,2.0,Others,0.021330245372814655,91
102,3.0,Others,0.020544848550162767,91
103,4.0,Others,0.02008624859677201,91
104,5.0,Others,0.01956130279348245,91
105,6.0,Others,0.019373709530824998,91
106,7.0,Others,0.018321558260968564,91
107,8.0,Others,0.01635988642128684,91
108,9.0,Others,0.015822404426907303,91
109,10.0,Others,0.014891686371146615,91
110,1.0,Durables,0.06400897651893331,91
111,2.0,Durables,0.09287890399508661,91
112,3.0,Durables,0.12253580516687315,91
113,4.0,Durables,0.1384804470597511,91
114,5.0,Durables,0.16373731423792565,91
115,6.0,Durables,0.17841406787536698,91
116,7.0,Durables,0.20307650941229785,91
117,8.0,Durables,0.22347068171459342,91
118,9.0,Durables,0.24735823054925332,91
119,10.0,Durables,0.2344649704175695,91
120,1.0,Investments,0.006691417623003922,91
121,2.0,Investments,0.010859491828586717,91
122,3.0,Investments,0.015702939576204788,91
123,4.0,Investments,0.024187110595327025,91
124,5.0,Investments,0.030601968289182806,91
125,6.0,Investments,0.03619654140665596,91
126,7.0,Investments,0.03752671654245426,91
127,8.0,Investments,0.05575467739259725,91
128,9.0,Investments,0.06768301862435715,91
129,10.0,Investments,0.19256782014275461,91
0,1.0,Food,0.47574297312117725,92
1,2.0,Food,0.43793573112456047,92
2,3.0,Food,0.4105167911695034,92
3,4.0,Food,0.388862811101457,92
4,5.0,Food,0.3680227830259137,92
5,6.0,Food,0.3421426650983212,92
6,7.0,Food,0.3202403704389469,92
7,8.0,Food,0.28984298267412,92
8,9.0,Food,0.259918472326879,92
9,10.0,Food,0.18257507581576962,92
10,1.0,Drink,0.012229617439044129,92
11,2.0,Drink,0.011222683711150138,92
12,3.0,Drink,0.010709177203350486,92
13,4.0,Drink,0.010509459622714821,92
14,5.0,Drink,0.00948294361844494,92
15,6.0,Drink,0.007260336369699923,92
16,7.0,Drink,0.006353162480463248,92
17,8.0,Drink,0.005289336510993855,92
18,9.0,Drink,0.004702450304436722,92
19,10.0,Drink,0.0028643601310729344,92
20,1.0,Cloth,0.023473652918008448,92
21,2.0,Cloth,0.03645503304291874,92
22,3.0,Cloth,0.04351199296206648,92
23,4.0,Cloth,0.046605617044482565,92
24,5.0,Cloth,0.05018944395902412,92
25,6.0,Cloth,0.0543789195798406,92
26,7.0,Cloth,0.06062595381860064,92
27,8.0,Cloth,0.060725728549895455,92
28,9.0,Cloth,0.05961120178896072,92
29,10.0,Cloth,0.05235672170863321,92
30,1.0,Housing,0.25601642710423145,92
31,2.0,Housing,0.23709957330370218,92
32,3.0,Housing,0.2293204850920666,92
33,4.0,Housing,0.22047352079520635,92
34,5.0,Housing,0.2133014842130786,92
35,6.0,Housing,0.21234615556942316,92
36,7.0,Housing,0.20292144718645988,92
37,8.0,Housing,0.19532637273980422,92
38,9.0,Housing,0.1851544618340196,92
39,10.0,Housing,0.17176607789978707,92
40,1.0,Furniture,0.02832661504912023,92
41,2.0,Furniture,0.02709197798832936,92
42,3.0,Furniture,0.02661835988649447,92
43,4.0,Furniture,0.02664806855424869,92
44,5.0,Furniture,0.025926121518551573,92
45,6.0,Furniture,0.025023948617461773,92
46,7.0,Furniture,0.02691760143794046,92
47,8.0,Furniture,0.025465121234554987,92
48,9.0,Furniture,0.0238316269713315,92
49,10.0,Furniture,0.024964509516911034,92
50,1.0,Health,0.03586478772655916,92
51,2.0,Health,0.036541365347446716,92
52,3.0,Health,0.03925548488684439,92
53,4.0,Health,0.04021095245971646,92
54,5.0,Health,0.04184234495406099,92
55,6.0,Health,0.04544584771534713,92
56,7.0,Health,0.050074908104443615,92
57,8.0,Health,0.05128900123963248,92
58,9.0,Health,0.05647527376260371,92
59,10.0,Health,0.06094113674033384,92
60,1.0,Transportation,0.039759206069972554,92
61,2.0,Transportation,0.04303576980627338,92
62,3.0,Transportation,0.045062804924113666,92
63,4.0,Transportation,0.04491742219590847,92
64,5.0,Transportation,0.045845932793234415,92
65,6.0,Transportation,0.04589956844672063,92
66,7.0,Transportation,0.04359737393821113,92
67,8.0,Transportation,0.041704124015390635,92
68,9.0,Transportation,0.03832782725965452,92
69,10.0,Transportation,0.029309840066357208,92
70,1.0,ICT,0.025018777015721267,92
71,2.0,ICT,0.027958600100720946,92
72,3.0,ICT,0.02752440004856829,92
73,4.0,ICT,0.027381530040421747,92
74,5.0,ICT,0.026867185369660856,92
75,6.0,ICT,0.02556869310392259,92
76,7.0,ICT,0.024499500217817757,92
77,8.0,ICT,0.02302018973063266,92
78,9.0,ICT,0.020414202162310553,92
79,10.0,ICT,0.014641416892609886,92
80,1.0,Entertainment,0.0032300687723147386,92
81,2.0,Entertainment,0.004497247816145679,92
82,3.0,Entertainment,0.004975391912803461,92
83,4.0,Entertainment,0.005131222169757756,92
84,5.0,Entertainment,0.0056870018728822904,92
85,6.0,Entertainment,0.005585424545945147,92
86,7.0,Entertainment,0.0058542934321451304,92
87,8.0,Entertainment,0.006060892041361021,92
88,9.0,Entertainment,0.0060695446323229115,92
89,10.0,Entertainment,0.005918502932722615,92
90,1.0,Restaurant,0.00375302167947089,92
91,2.0,Restaurant,0.005522842355753167,92
92,3.0,Restaurant,0.005750991421969848,92
93,4.0,Restaurant,0.0063833161679670535,92
94,5.0,Restaurant,0.006921370547630594,92
95,6.0,Restaurant,0.008153883450568314,92
96,7.0,Restaurant,0.007807296448388886,92
97,8.0,Restaurant,0.009186483995015494,92
98,9.0,Restaurant,0.009571903806290754,92
99,10.0,Restaurant,0.012992323932381917,92
100,1.0,Others,0.02360296541412795,92
101,2.0,Others,0.025120883291376607,92
102,3.0,Others,0.024379632002360225,92
103,4.0,Others,0.024311426400082953,92
104,5.0,Others,0.023364870574097932,92
105,6.0,Others,0.022308680210364706,92
106,7.0,Others,0.02190785058227691,92
107,8.0,Others,0.01993931577436578,92
108,9.0,Others,0.018865084986079805,92
109,10.0,Others,0.01518090693661588,92
110,1.0,Durables,0.0665393230210473,92
111,2.0,Durables,0.09587010846557724,92
112,3.0,Durables,0.11696313283733549,92
113,4.0,Durables,0.13767367063957484,92
114,5.0,Durables,0.159370704830378,92
115,6.0,Durables,0.18254366386892418,92
116,7.0,Durables,0.1985919386559101,92
117,8.0,Durables,0.22678514394254068,92
118,9.0,Durables,0.24414898221032105,92
119,10.0,Durables,0.243762246183152,92
120,1.0,Investments,0.006442564669204378,92
121,2.0,Investments,0.01164818364604499,92
122,3.0,Investments,0.015411355652522822,92
123,4.0,Investments,0.020890982808460957,92
124,5.0,Investments,0.023177812723041598,92
125,6.0,Investments,0.023342213423460295,92
126,7.0,Investments,0.03060830325839498,92
127,8.0,Investments,0.04536530755169232,92
128,9.0,Investments,0.07290896795478875,92
129,10.0,Investments,0.18272688124365238,92
0,1.0,Food,0.4624117604469447,93
1,2.0,Food,0.4177258725107666,93
2,3.0,Food,0.3884782699877265,93
3,4.0,Food,0.3617773239431295,93
4,5.0,Food,0.3404457349700916,93
5,6.0,Food,0.3180813742223419,93
6,7.0,Food,0.29932214810211094,93
7,8.0,Food,0.2796141453656587,93
8,9.0,Food,0.240931181548123,93
9,10.0,Food,0.17491451413967857,93
10,1.0,Drink,0.011702148244027658,93
11,2.0,Drink,0.011875770375160011,93
12,3.0,Drink,0.010864391503334323,93
13,4.0,Drink,0.009270132540857493,93
14,5.0,Drink,0.008355438297841487,93
15,6.0,Drink,0.00724443481014099,93
16,7.0,Drink,0.006274238497610173,93
17,8.0,Drink,0.005456006906984785,93
18,9.0,Drink,0.0033832647969711653,93
19,10.0,Drink,0.0026284127870672114,93
20,1.0,Cloth,0.01800468480184248,93
21,2.0,Cloth,0.035456207650222664,93
22,3.0,Cloth,0.041415192605890876,93
23,4.0,Cloth,0.04418687437722184,93
24,5.0,Cloth,0.04603843417026576,93
25,6.0,Cloth,0.05194703346216607,93
26,7.0,Cloth,0.05554916372363809,93
27,8.0,Cloth,0.059779948978639794,93
28,9.0,Cloth,0.05602989693036984,93
29,10.0,Cloth,0.050174619731996085,93
30,1.0,Housing,0.27470256221919004,93
31,2.0,Housing,0.24869430535229373,93
32,3.0,Housing,0.24277056347178505,93
33,4.0,Housing,0.23896507876150916,93
34,5.0,Housing,0.23243328945134836,93
35,6.0,Housing,0.2261376850172387,93
36,7.0,Housing,0.21992850357762947,93
37,8.0,Housing,0.20321048522509533,93
38,9.0,Housing,0.19731217840232598,93
39,10.0,Housing,0.18146533022195196,93
40,1.0,Furniture,0.028480850360985126,93
41,2.0,Furniture,0.027378532942496838,93
42,3.0,Furniture,0.026259868021283786,93
43,4.0,Furniture,0.026290603605061576,93
44,5.0,Furniture,0.025231922642827677,93
